Niels;Daniel;Mina;Emma;Anton;Jess;Aleks;Sille;Round;t
1;2;2;1;2;1;2;1;1;86
2;2;2;0;2;1;2;1;1;87
2;2;2;1;2;1;1;1;1;88
2;3;2;1;1;1;1;1;1;89
2;3;1;1;1;2;1;1;1;90
1;3;1;1;1;2;1;2;1;91
1;2;1;1;2;2;1;2;1;92
1;3;1;1;2;1;1;2;1;93
1;3;2;1;2;1;1;1;1;94
2;3;1;1;2;1;1;1;1;95
2;2;1;1;2;1;1;2;1;96
2;2;1;0;3;1;1;2;1;97
2;1;1;0;3;2;1;2;1;98
2;1;2;0;3;2;1;1;1;99
2;2;2;0;2;2;1;1;1;100
2;2;2;0;1;3;1;1;1;101
1;2;2;1;1;3;1;1;1;102
1;2;3;1;1;2;1;1;1;103
2;2;3;0;1;2;1;1;1;104
2;1;3;0;2;2;1;1;1;105
2;1;2;0;2;3;1;1;1;106
2;1;2;0;2;2;1;2;1;107
2;1;2;1;1;2;1;2;1;108
2;1;1;1;1;2;1;3;1;109
2;2;1;1;1;2;1;2;1;110
2;2;1;1;1;2;1;2;1;111
1;2;1;1;1;2;1;3;1;112
2;2;1;1;1;2;1;2;1;113
2;3;1;1;1;1;1;2;1;114
2;3;1;1;0;1;1;3;1;115
2;2;2;1;0;1;1;3;1;116
2;2;2;1;0;1;2;2;1;117
2;1;3;1;0;1;2;2;1;118
2;1;4;1;0;1;1;2;1;119
3;1;4;0;0;1;1;2;1;120
2;1;5;0;0;1;1;2;1;121
2;2;4;0;0;1;1;2;1;122
2;2;3;0;0;1;2;2;1;123
2;2;2;0;0;1;3;2;1;124
2;2;1;0;0;2;3;2;1;125
3;1;1;0;0;2;3;2;1;126
3;0;1;0;0;3;3;2;1;127
